종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"094820","일진파워","KOSDAQ","건설","14000","300","2.19","211101926000"
"950140","잉글우드랩","KOSDAQ","화학","4335","-120","-2.69","86127199110"
"049550","잉크테크","KOSDAQ","화학","5330","-80","-1.48","104501456410"
"254120","자비스","KOSDAQ","기계·장비","1810","15","0.84","40149812770"
"043910","자연과환경","KOSDAQ","기타서비스","1075","-5","-0.46","87483022700"
"234920","자이글","KOSDAQ","일반전기전자","3255","-25","-0.76","44043112050"
"289220","자이언트스텝","KOSDAQ","오락·문화","17850","450","2.59","392632562700"
"174880","장원테크","KOSDAQ","통신장비","1085","20","1.88","23738390585"
"049630","재영솔루텍","KOSDAQ","IT부품","590","-6","-1.01","48347876270"
"110020","전진바이오팜","KOSDAQ","화학","3530","120","3.52","24145200000"
"208140","정다운","KOSDAQ","음식료·담배","1925","30","1.58","62917173550"
"040420","정상제이엘에스","KOSDAQ","기타서비스","7310","-70","-0.95","114602905120"
"045510","정원엔시스","KOSDAQ","컴퓨터서비스","1400","5","0.36","45093008800"
"217190","제너셈","KOSDAQ","반도체","4765","50","1.06","41785114110"
"095700","제넥신","KOSDAQ","기타서비스","22850","850","3.86","574562838700"
"072520","제넨바이오","KOSDAQ","유통","1370","0","0.00","59689077900"
"122310","제노레이","KOSDAQ","의료·정밀기기","7720","40","0.52","112355675680"
"361390","제노코","KOSDAQ","통신장비","20000","-100","-0.50","150015780000"
"187420","제노포커스","KOSDAQ","제약","7250","350","5.07","163306322500"
"225220","제놀루션","KOSDAQ","제약","8900","100","1.14","85358431500"
"123330","제닉","KOSDAQ","화학","4090","-10","-0.24","28630000000"
"159580","제로투세븐","KOSDAQ","유통","6050","-50","-0.82","121197447800"
"147830","제룡산업","KOSDAQ","금속","2810","40","1.44","56200000000"
"033100","제룡전기","KOSDAQ","IT부품","9540","140","1.49","153235381860"
"079370","제우스","KOSDAQ","기계·장비","23450","250","1.08","243504800000"
"054950","제이브이엠","KOSDAQ","기계·장비","18400","100","0.55","222454012800"
"023440","제이스코홀딩스","KOSDAQ","금속","1895","95","5.28","70078737280"
"090470","제이스텍","KOSDAQ","반도체","6070","0","0.00","88608694560"
"287410","제이시스메디칼","KOSDAQ","의료·정밀기기","6520","-80","-1.21","464872557440"
"137950","제이씨케미칼","KOSDAQ","화학","6450","30","0.47","143627400300"
"033320","제이씨현시스템","KOSDAQ","유통","3770","-15","-0.40","72061408640"
"204270","제이앤티씨","KOSDAQ","일반전기전자","4460","-35","-0.78","258004158360"
"026040","제이에스티나","KOSDAQ","기타제조","2425","-5","-0.21","40021690750"
"126880","제이엔케이히터","KOSDAQ","기계·장비","4690","-20","-0.42","108830995070"
"322510","제이엘케이","KOSDAQ","소프트웨어","3400","45","1.34","51844097600"
"033050","제이엠아이","KOSDAQ","출판·매체복제","997","29","3.00","32481603974"
"094970","제이엠티","KOSDAQ","IT부품","3055","-45","-1.45","51165873200"
"058420","제이웨이","KOSDAQ","오락·문화","2160","0","0.00","7799412240"
"089790","제이티","KOSDAQ","반도체","6130","70","1.16","63234094690"
"052670","제일바이오","KOSDAQ","제약","1440","5","0.35","41945852160"
"199820","제일전기공업","KOSDAQ","일반전기전자","8970","-50","-0.55","99656700000"
"038010","제일테크노스","KOSDAQ","금속","6560","-50","-0.76","59040000000"
"276730","제주맥주","KOSDAQ","음식료·담배","1630","-60","-3.55","93189823730"
"080220","제주반도체","KOSDAQ","반도체","3520","20","0.57","121238772160"
"216080","제테마","KOSDAQ","제약","13450","50","0.37","239440383550"
"229000","젠큐릭스","KOSDAQ","제약","6660","810","13.85","44412796080"
"082270","젬백스","KOSDAQ","기계·장비","11950","100","0.84","475763712850"
"064800","젬백스링크","KOSDAQ","유통","1050","-15","-1.41","87934472850"
"044060","조광ILI","KOSDAQ","기계·장비","1435","30","2.14","137375684040"
"034940","조아제약","KOSDAQ","제약","2280","60","2.70","70634005560"
"067000","조이시티","KOSDAQ","디지털컨텐츠","3560","60","1.71","243908910840"
"033340","좋은사람들","KOSDAQ","섬유·의류","1055","0","0.00","52653176320"
"036930","주성엔지니어링","KOSDAQ","반도체","11600","100","0.87","559690859200"
"239340","줌인터넷","KOSDAQ","인터넷","3005","-10","-0.33","81073800170"
"051980","중앙디앤엠","KOSDAQ","화학","433","-11","-2.48","15876044157"
"072020","중앙백신","KOSDAQ","제약","10200","-100","-0.97","101592000000"
"000440","중앙에너비스","KOSDAQ","유통","20900","750","3.72","130147017000"
"078650","지나인제약","KOSDAQ","의료·정밀기기","2120","0","0.00","8647007240"
"228760","지노믹트리","KOSDAQ","제약","8690","-180","-2.03","180119385380"
"314130","지놈앤컴퍼니","KOSDAQ","제약","16650","250","1.52","234424024650"
"389030","지니너스","KOSDAQ","기타서비스","2045","25","1.24","66683247525"
"043610","지니뮤직","KOSDAQ","디지털컨텐츠","3525","125","3.68","204856918950"
"263860","지니언스","KOSDAQ","소프트웨어","7790","-40","-0.51","73573434000"
"303030","지니틱스","KOSDAQ","반도체","2035","-175","-7.92","72742434380"
"036180","지더블유바이텍","KOSDAQ","유통","644","7","1.10","31680670028"
"208350","지란지교시큐리티","KOSDAQ","출판·매체복제","4215","145","3.56","37254484035"
"144510","지씨셀","KOSDAQ","기타서비스","46350","-600","-1.28","732345944400"
"382480","지아이텍","KOSDAQ","기계·장비","3295","20","0.61","129681776300"
"382800","지앤비에스엔지니어링","KOSDAQ","기계·장비","12400","-100","-0.80","89163663200"
"051160","지어소프트","KOSDAQ","소프트웨어","8810","110","1.26","136329728300"
"053050","지에스이","KOSDAQ","전기·가스·수도","5420","120","2.26","162532775740"
"119850","지엔씨에너지","KOSDAQ","일반전기전자","3475","-15","-0.43","57159958775"
"270520","지엔원에너지","KOSDAQ","기타서비스","2140","-50","-2.28","66787063120"
"065060","지엔코","KOSDAQ","섬유·의류","421","4","0.96","41261386524"
"204840","지엘팜텍","KOSDAQ","기타서비스","744","-6","-0.80","46205421384"
